,Entity,Code,Year,Other renewables (including geothermal and biomass) - TWh,Biofuels consumption - TWh,Solar consumption - TWh,Wind consumption - TWh,Hydro consumption - TWh,Nuclear consumption - TWh,Gas consumption - TWh,Coal consumption - TWh,Oil consumption - TWh,Continent,Solar consumption - TWh (Normalized),Wind consumption - TWh (Normalized),Hydro consumption - TWh (Normalized),Gas consumption - TWh (Normalized),Coal consumption - TWh (Normalized),Oil consumption - TWh (Normalized)
43,Algeria,DZA,2023,0.0,,1.6858824,0.0415625,0.17866722,0.0,462.96246,1.9329839,238.20117,Africa,0.00039534608910914056,6.880799634591255e-06,1.6221656261686706e-05,0.011457711439061135,4.242262415414662e-05,0.0041878583402423526
87,Angola,AGO,2023,,,,,,0.0,,,,Africa,,,,,,
131,Argentina,ARG,2023,7.2645535,12.772843,8.501062,37.60226,77.6654,22.342176,449.364,12.793747,391.43518,South America,0.0019935549317568833,0.006225169729150205,0.007051441345683908,0.011118582595954427,0.0002807805696179057,0.006996694859162487
175,Australia,AUS,2023,9.9778185,1.2926255,116.8801,82.78206,39.64335,0.0,401.21503,419.0112,601.6536,Oceania,0.027409222170996735,0.013704824498014108,0.0035993216705433578,0.009917806589489018,0.009195914489498832,0.010850076853444897
219,Austria,AUT,2023,14.5507765,4.4549932,13.41442,20.878862,100.93386,0.0,68.81278,26.736969,135.02812,Europe,0.0031457728722340543,0.0034565597839466165,0.00916404465287594,0.001628103896054104,0.0005867883260217891,0.002296657877575005
263,Azerbaijan,AZE,2023,0.3559308,,0.20625444,0.14702778,4.5807166,0.0,151.2159,0.000777778,71.342064,Asia,4.836264504835002e-05,2.434090092989506e-05,0.00041589503725082997,0.0036831362125063554,1.7069663006176023e-08,0.0011292687330972696
307,Bahrain,BHR,2023,,,,,,0.0,,,,Asia,,,,,,
351,Bangladesh,BGD,2023,0.012321916,,3.2946467,0.04307583,1.7756855,0.0,281.25888,78.29062,143.81404,Asia,0.0007726129376593983,7.131336067939008e-06,0.00016121905187678685,0.006926247959097427,0.0017182210090084635,0.0024577070659915377
395,Belarus,BLR,2023,1.6200436,0.0,0.39822164,0.44612417,0.77929854,29.251406,167.84035,11.258296,84.47235,Europe,9.338034003885736e-05,7.385722769126802e-05,7.075451804261749e-05,0.00409772951908558,0.0002470824820755787,0.001369951769589402
439,Belgium,BEL,2023,11.094539,8.54595,19.037664,40.722084,1.0189964,82.07988,137.06137,27.39454,315.10812,Europe,0.0044644642072600394,0.006741666182423925,9.251730302120452e-05,0.0033301396685139328,0.0006012198416633143,0.005597591399624959
483,Bolivia,BOL,2023,,,,,,0.0,,,,South America,,,,,,
527,Brazil,BRA,2023,178.22937,266.07025,133.7331,248.09993,1113.4961,36.169163,299.87982,159.09375,1418.9431,South America,0.03136137240121846,0.04107370604959076,0.10109717374529434,0.007390631267189626,0.0034915833295475268,0.025831298020534223
571,Brunei,BRN,2023,,,,,,0.0,,,,Asia,,,,,,
615,Bulgaria,BGR,2023,6.0285006,2.7286453,8.909265,4.114562,8.131376,40.32002,25.259998,44.571636,59.203373,Europe,0.00208928148373144,0.0006811783869137579,0.0007382685330108623,0.000541951157160238,0.0009782004712835068,0.0009067620025569205
659,Canada,CAN,2023,33.149395,33.712906,19.850298,101.143326,946.0593,221.89217,1207.2723,102.97444,1208.8325,North America,0.0046550327499637716,0.01674458852528467,0.08589515618909804,0.030019882078393782,0.0022599494830783237,0.02197989240704006
703,Chad,TCD,2023,,,,,,0.0,,,,Africa,,,,,,
747,Chile,CHL,2023,18.933437,,47.219517,25.32907,62.421158,0.0,70.14463,48.780945,231.23878,South America,0.011073312294961035,0.004193305397907641,0.00566737742117684,0.0016613185946075925,0.001070580927041916,0.0040602351364185775
791,China,CHN,2023,632.3686,30.817583,1517.4242,2301.1907,3184.7217,1083.6292,4048.381,25538.52,9090.51,Asia,0.3558469298343611,0.380969194049559,0.2891490711420625,0.10087363364816011,0.5604863213879622,0.16645397875608978
835,Colombia,COL,2023,9.854561,12.230372,3.1167786,0.5288839,155.42986,0.0,130.54437,43.354015,271.42648,South America,0.0007309015834575291,8.75583553891416e-05,0.014111876603453548,0.003167613715536432,0.000951477704453842,0.004796890656765574
879,Congo,COG,2023,,,,,,0.0,,,,Africa,,,,,,
913,Croatia,HRV,2023,3.377738,0.24893944,0.9791427,6.1030855,21.224401,0.0,25.001436,3.906757,40.320713,Europe,0.00022961052463623763,0.0010103845648909277,0.0019270179352552728,0.0005355029393523864,8.57404367788999e-05,0.0005606358065358644
942,Cuba,CUB,2023,,,,,,0.0,,,,North America,,,,,,
954,Curacao,CUW,2023,,,,,,0.0,,,,,,,,,,
998,Cyprus,CYP,2023,0.15711278,0.24409722,2.1454058,0.5415525,,0.0,,0.32389277,28.683737,Asia,0.0005031076455739996,8.965568106134089e-05,,,7.108378527082122e-06,0.00034732569895206403
1042,Czechia,CZE,2023,16.483006,3.718611,5.6942472,1.8220283,6.0863137,75.804344,66.975,130.78227,116.00688,Europe,0.0013353365873665821,0.0003016423858250809,0.0005525920688875921,0.001582271926457205,0.002870239677752166,0.0019479914585003855
1071,Democratic Republic of Congo,COD,2023,,,,,,0.0,,,,Africa,,,,,,
1115,Denmark,DNK,2023,21.346525,2.7451868,9.032389,50.381268,0.051135,0.0,16.30251,8.091202,87.572845,Europe,0.002118154951063418,0.008340773785134294,4.642678119362632e-06,0.0003185624394243896,0.00017757520970623677,0.0014267849986012203
1159,Ecuador,ECU,2023,1.1446924,0.26404443,0.09956833,0.5418203,65.847374,0.0,4.9418087,0.6883044,160.78226,South America,2.3343981653229844e-05,8.970001617453532e-05,0.005978452380703782,3.524054203675301e-05,1.5106012452998392e-05,0.002768740863234532
1203,Egypt,EGY,2023,0.0,,13.622813,14.902479,35.911945,0.0,600.44385,13.923771,414.95883,Africa,0.0031946425359690926,0.0024671512074034008,0.0032605378170578723,0.014886327969124261,0.00030558087107782235,0.007427892131741176
1247,Equatorial Guinea,GNQ,2023,,,,,,0.0,,,,Africa,,,,,,
1286,Estonia,EST,2023,4.539233,0.299595,1.9012327,1.8074071,0.06900278,0.0,3.6988437,27.524136,15.673048,Europe,0.00044584728994717047,0.00029922180122075523,6.264939804071447e-06,4.2425259031518375e-06,0.0006040640466253323,0.00010883492004787367
1330,Finland,FIN,2023,35.053684,4.1096244,1.7280446,39.05917,39.413803,85.363815,11.944166,24.578888,90.90452,Europe,0.0004052334295492198,0.006466365658067674,0.0035784805082422857,0.00020987070825916464,0.0005394255625982527,0.001487855843181828
1374,France,FRA,2023,30.977734,38.802715,57.79182,135.88712,144.22849,843.0388,338.64163,49.38254,767.8821,Europe,0.013552593712834638,0.02249653042145343,0.013094875422151406,0.008357303065468407,0.001083783954019023,0.013897107217561294
1418,Gabon,GAB,2023,,,,,,0.0,,,,Africa,,,,,,
1462,Germany,DEU,2023,157.84128,36.175568,159.01846,369.13553,51.01548,17.987366,756.6381,507.2222,1114.5157,Europe,0.03729097195887818,0.06111152168273442,0.004631826591273726,0.018781620178861248,0.011131855135078667,0.020251030307903668
1506,Greece,GRC,2023,2.2407887,2.8730817,22.078852,28.609932,10.253274,0.0,53.822,13.223168,172.0799,Europe,0.00517764475994191,0.004736462187098482,0.000930921107883637,0.001254252307075118,0.00029020494489950935,0.002975830815456058
1511,Guyana,GUY,2023,,,,,,0.0,,,,South America,,,,,,
1555,Hong Kong,HKG,2023,0.38592333,1.3391805,0.6268386,0.00215318,0.0,0.0,48.4678,40.805275,159.31978,Asia,0.0001469926684727618,3.564655676922514e-07,0.0,0.0011207251538708624,0.0008955412638623608,0.0027419330597176087
1599,Hungary,HUN,2023,4.8202167,3.717197,16.979935,1.6737595,0.57645494,39.67846,81.848335,10.096608,93.54198,Europe,0.003981911893661041,0.0002770960302193959,5.233782608265374e-05,0.0019531945817938033,0.00022158726020208962,0.0015362014680544724
1643,Iceland,ISL,2023,14.971027,0.20208389,2.35e-05,0.018774778,36.940968,0.0,,0.9684758,9.735639,Europe,0.0,3.1082222099712945e-06,0.0033539654608717158,,2.1254851044432636e-05,0.0
