countries,code,1985,1986,1987,1988,1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021
Afghanistan,AFG,11.217284,11.462361,18.482574,32.595596,32.051582,31.745558,13.902764,9.167781,9.105348,8.815903,7.428904,7.2858114,6.9379854,6.7522273,6.748676,5.913606,4.664077,4.4281597,5.2076616,4.810372,6.153309,7.745364,9.177021,16.06334,26.701996,33.345337,42.00513,40.341312,33.458687,28.416525,32.743607,29.883818,29.559513,33.907795,30.314272,27.393118,27.13513
Albania,ALB,49.83857,48.67189,48.837517,49.409107,46.991184,33.657845,28.229689,24.674017,21.63845,20.567207,22.72757,25.011456,22.843916,24.571817,22.114038,28.731913,27.233145,29.497454,33.270126,35.486534,35.013653,32.967403,28.376635,30.99076,33.772945,36.060646,31.485647,30.809958,38.665195,34.059666,34.083374,39.827103,36.862617,42.032387,33.29553,31.988321,40.252644
Algeria,DZA,262.29657,277.49054,285.1681,305.4218,297.0683,314.97372,312.0951,320.22687,297.99496,301.92108,313.14484,309.92474,297.85977,308.349,311.43417,299.94562,310.81296,321.9505,336.9221,349.7778,366.2715,379.22003,399.63977,423.55692,448.8593,438.99487,464.48825,507.67184,536.9768,585.6132,617.5181,616.9958,623.7946,669.61975,694.3489,648.8988,707.6273
American Samoa,ASM,1.9069229,1.9684365,2.0435872,1.9866744,2.2877688,2.4062712,2.4062712,2.4751372,2.4079294,2.3456187,2.2833083,2.289356,2.3456187,2.3456187,2.3456218,2.296828,2.296828,2.3349886,2.3349886,2.3349886,2.4804015,2.5224495,2.5224495,2.5293603,2.5224495,2.5224495,1.4394212,1.445875,1.4450136,1.4449954,1.444883,1.4514818,1.4529216,1.4527618,1.4524702,1.3840231,1.5961853
Angola,AGO,21.618885,21.351183,22.020035,22.711615,21.975481,23.330988,24.454176,24.813814,24.360994,23.768608,25.495579,24.504175,27.524199,24.772617,27.6509,32.44806,35.23395,37.546337,41.6661,46.076923,39.229706,49.463192,56.854713,66.63688,75.82465,83.17874,87.199165,91.0689,101.91877,112.17697,116.99946,106.75158,101.83017,105.27903,118.654335,117.90763,96.311485
Antarctica,ATA,0.87234807,0.81003743,0.81003743,0.87473804,0.81003743,0.87234807,0.87234807,0.87473804,0.87234807,0.87234807,0.93465865,0.9372193,0.93465865,0.93465865,0.93465865,0.92967373,0.9551443,0.9551443,0.9551443,0.96787953,0.9737404,0.9736935,0.98640823,0.049270246,0.06739434,0.067389645,0.06734276,0.057500236,0.05735094,0.057346396,0.058241855,0.058168042,0.054660268,0.054660268,0.054660305,0.046015892,0.048968244
Antigua and Barbuda,ATG,1.3330326,1.3552762,1.686893,1.6914043,1.686893,1.7492034,1.7430848,1.7477502,1.7430848,1.8660479,1.9894924,1.9948328,2.050145,2.050145,2.0501504,2.1362836,2.1362836,2.2902532,2.40722,2.4967196,2.5349038,2.6126008,2.7379868,2.8008583,2.9345222,2.8373902,2.8294127,2.9076788,2.9079623,2.9732518,3.0433478,3.0876482,2.9374938,3.0266554,3.0427258,2.5749125,2.7469301
Argentina,ARG,481.61896,508.8846,531.83716,540.7379,521.4408,513.02167,521.34717,559.3094,577.8426,608.76117,628.23645,657.1285,664.75507,688.4251,696.0661,698.77704,682.52423,654.4735,701.5056,744.8173,790.5074,830.5426,865.64545,877.17804,852.51086,883.96924,909.091,943.7065,981.39813,979.85767,996.94006,992.4242,991.3971,984.3456,927.35834,869.82855,958.46265
Armenia,ARM,,,,,,,,57.7568,43.95694,39.296124,38.54506,49.341423,41.582306,44.19059,27.311895,29.373667,28.887114,27.6709,30.428022,31.5594,36.559025,36.503197,40.961624,39.53123,35.32081,39.337505,41.41521,43.885105,43.05361,43.884068,40.660046,40.950134,43.64147,42.928493,45.634823,47.936787,49.357056
Aruba,ABW,,0.42608666,0.42608666,1.6324507,2.1700447,2.2920136,2.5002792,2.746373,2.7903798,3.0615923,3.4651084,2.2837791,3.6933842,3.6933842,3.6933894,4.41737,4.5707107,4.7247806,5.2614985,5.486875,5.925302,5.9140134,6.0942554,5.7248945,5.707535,5.3578606,4.262488,5.340377,5.1717796,5.2454996,5.3989043,5.2463517,5.4319153,5.2476115,5.440839,4.6366434,4.9106016
