Entity,Code,Year,Other renewables (including geothermal and biomass) - TWh,Biofuels consumption - TWh,Solar consumption - TWh,Wind consumption - TWh,Hydro consumption - TWh,Nuclear consumption - TWh,Gas consumption - TWh,Coal consumption - TWh,Oil consumption - TWh,Continent,Biofuels consumption - TWh Rank,Solar consumption - TWh Rank,Wind consumption - TWh Rank,Hydro consumption - TWh Rank,Nuclear consumption - TWh Rank,Gas consumption - TWh Rank,Coal consumption - TWh Rank,Oil consumption - TWh Rank
Algeria,DZA,1980,0.0,0.0,0.0,0.0,0.75994605,0.0,109.43624,0.74432,66.20243,Africa,2.0,1.0,2.0,53.0,22.0,16.0,52.0,51.0
Algeria,DZA,1981,0.0,0.0,0.0,0.0,1.0822581,0.0,142.25749,0.52335,71.323074,Africa,2.0,1.0,2.0,53.0,22.0,13.0,53.0,50.0
Algeria,DZA,1982,0.0,0.0,0.0,0.0,1.4163978,0.0,161.41124,9.711049,75.57342,Africa,2.0,1.0,2.0,52.0,22.0,13.0,42.0,49.0
Algeria,DZA,1983,0.0,0.0,0.0,0.0,0.69489247,0.0,176.715,8.66435,84.89242,Africa,2.0,2.0,4.0,53.0,24.0,12.0,44.0,47.0
Algeria,DZA,1984,0.0,0.0,0.0,0.0,1.336559,0.0,155.25125,9.60638,94.00201,Africa,2.0,3.0,4.0,51.0,26.0,14.0,43.0,45.0
Algeria,DZA,1985,0.0,0.0,0.0,0.0,1.910215,0.0,153.8075,10.025061,96.5538,Africa,2.0,3.0,5.0,54.0,28.0,17.0,52.0,51.0
Algeria,DZA,1986,0.0,0.0,0.0,0.0,0.73924726,0.0,168.43748,10.292549,98.02125,Africa,2.0,3.0,7.0,59.0,28.0,16.0,55.0,50.0
Algeria,DZA,1987,0.0,0.0,0.0,0.0,1.4755378,0.0,172.2875,12.30454,99.10052,Africa,2.0,2.0,9.0,57.0,28.0,16.0,48.0,52.0
Algeria,DZA,1988,0.0,0.0,0.0,0.0,0.5411292,0.0,194.13625,11.571849,99.1726,Africa,2.0,3.0,9.0,59.0,27.0,17.0,51.0,52.0
Algeria,DZA,1989,0.0,0.0,0.0,0.0,0.6682794,0.0,182.68251,9.78083,103.93665,Africa,2.0,5.0,13.0,59.0,29.0,17.0,56.0,52.0
Algeria,DZA,1990,0.0,0.0,0.0,0.0,0.39919358,0.0,195.09874,7.66417,111.811615,Africa,3.0,11.0,18.0,63.0,29.0,18.0,61.0,48.0
Algeria,DZA,1991,0.0,0.0,0.0,0.0,0.86639774,0.0,192.69249,7.9084,110.627785,Africa,3.0,12.0,17.0,61.0,30.0,20.0,59.0,47.0
Algeria,DZA,1992,0.0,0.0,0.0,0.0,0.58844084,0.0,198.94875,9.397039,111.292656,Africa,6.0,15.0,20.0,62.0,30.0,19.0,56.0,47.0
Algeria,DZA,1993,0.0,0.0,0.0,0.0,1.0438172,0.0,178.54373,7.6525397,110.754875,Africa,6.0,17.0,24.0,60.0,31.0,19.0,58.0,48.0
Algeria,DZA,1994,0.0,0.0,0.0,0.0,0.49086028,0.0,188.16875,7.2106,106.05089,Africa,6.0,17.0,24.0,62.0,31.0,21.0,57.0,50.0
Algeria,DZA,1995,0.0,0.0,0.0,0.0,0.57069886,0.0,202.22125,7.2106,103.14228,Africa,6.0,18.0,25.0,62.0,31.0,20.0,57.0,51.0
Algeria,DZA,1996,0.0,0.0,0.0,0.0,0.39919358,0.0,207.70749,3.3959599,98.42207,Africa,6.0,20.0,29.0,63.0,32.0,20.0,59.0,52.0
Algeria,DZA,1997,0.0,0.0,0.0,0.0,0.22177416,0.0,194.04001,5.95456,97.64342,Africa,6.0,20.0,32.0,65.0,32.0,22.0,57.0,52.0
Algeria,DZA,1998,0.0,0.0,0.0,0.0,0.6357528,0.0,200.68124,6.37324,100.65875,Africa,7.0,21.0,34.0,62.0,32.0,22.0,57.0,52.0
Algeria,DZA,1999,0.0,0.0,0.0,0.0,0.6002689,0.0,205.10875,6.82681,98.898346,Africa,7.0,22.0,37.0,62.0,31.0,22.0,57.0,50.0
Algeria,DZA,2000,0.0,0.0,0.0,0.0,0.1596775,0.0,191.01292,5.6405497,103.13248,Africa,9.0,30.0,40.0,65.0,31.0,26.0,58.0,50.0
Algeria,DZA,2001,0.0,0.0,0.0,0.0,0.2027075,0.0,197.32211,6.5127997,106.77533,Africa,11.0,31.0,44.0,65.0,31.0,26.0,57.0,51.0
Algeria,DZA,2002,0.0,0.0,0.0,0.0,0.16637361,0.0,194.83887,8.54805,118.397224,Africa,17.0,32.0,45.0,65.0,31.0,28.0,56.0,49.0
Algeria,DZA,2003,0.0,0.0,0.0,0.0,0.76853275,0.0,205.93167,7.0477796,123.17411,Africa,19.0,32.0,47.0,61.0,31.0,28.0,58.0,48.0
Algeria,DZA,2004,0.0,0.0,0.0,0.0,0.72329473,0.0,211.89917,8.408489,128.74683,Africa,24.0,36.0,53.0,62.0,31.0,28.0,57.0,47.0
Algeria,DZA,2005,0.0,0.0,0.0,0.0,1.5900536,0.0,223.55986,6.9082203,134.21338,Africa,31.0,38.0,54.0,60.0,31.0,29.0,60.0,47.0
Algeria,DZA,2006,0.0,0.0,0.0,0.0,0.61916,0.0,228.4975,10.25766,139.84572,Africa,42.0,39.0,58.0,62.0,31.0,29.0,54.0,46.0
Algeria,DZA,2007,0.0,0.0,0.0,0.0,0.63904226,0.0,233.80681,8.80391,156.39,Africa,48.0,42.0,60.0,62.0,31.0,29.0,57.0,44.0
Algeria,DZA,2008,0.0,0.0,0.0,0.0,0.79524636,0.0,244.04187,8.80391,169.9159,Africa,51.0,47.0,61.0,62.0,31.0,30.0,56.0,41.0
Algeria,DZA,2009,0.0,0.0,0.0,0.0,0.9551075,0.0,262.1176,5.65218,180.13441,Africa,52.0,53.0,62.0,61.0,31.0,29.0,60.0,38.0
Algeria,DZA,2010,0.0,0.0,0.025257777,0.0,0.48017526,0.0,253.27225,3.6053,181.61191,Africa,54.0,33.0,62.0,63.0,30.0,31.0,61.0,40.0
Algeria,DZA,2011,0.0,0.0,0.049983334,0.0,1.0427713,0.0,267.9696,3.1982498,192.22765,Africa,56.0,34.0,63.0,61.0,31.0,31.0,62.0,38.0
