countries,code,1985,1986,1987,1988,1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021
Afghanistan,AFG,0.098165978,0.100370287,0.162301191,0.282866877,0.269928789,0.263543446,0.113595077,0.069039788,0.060933159,0.054249043,0.043530853,0.041016172,0.037599977,0.035241277,0.033933764,0.029376592,0.022993529,0.02071351,0.022907884,0.02041697,0.025213753,0.030464654,0.035419041,0.060656138,0.097218007,0.117894333,0.143129162,0.132006755,0.105805888,0.08665549,0.09678362,0.086118989,0.082825411,0.092283586,0.080077586,0.070114754,0.067837128
Albania,ALB,1.646878227,1.576336312,1.550967038,1.537823708,1.441283781,1.026791173,0.859977725,0.751682312,0.660145584,0.629078732,0.697470456,0.770607339,0.707315341,0.76544545,0.693535274,0.907472489,0.865109765,0.94117962,1.067002706,1.145220826,1.138227853,1.080613602,0.93872629,1.035464543,1.140404972,1.231272463,1.081423562,1.058760352,1.32981132,1.172955298,1.175842621,1.37435877,1.271893562,1.452281694,1.154086361,1.113818481,1.412550414
Algeria,DZA,1.191794449,1.219979952,1.216399185,1.266809064,1.200058349,1.241235829,1.200922951,1.202568873,1.09247543,1.082648158,1.099904131,1.067489614,1.006987217,1.025978622,1.021954785,0.970575457,0.992022974,1.01399072,1.047128475,1.072007889,1.106251007,1.127842056,1.168898946,1.216524635,1.264732875,1.213087231,1.258660624,1.348535378,1.39786104,1.493719365,1.543041937,1.510367014,1.496294109,1.575389319,1.603778998,1.473360496,1.580897887
American Samoa,ASM,4.873799775,4.849799202,4.854702934,4.553042123,5.060651669,5.157142673,5.023111222,5.045636938,4.79877516,4.574763911,4.362703823,4.288950504,4.312988324,4.237487264,4.168882609,4.038236897,4.024439305,4.090729853,4.097333825,4.107930191,4.3794719,4.473221316,4.493701566,4.529007843,4.541598999,4.565932664,2.62108491,2.652738281,2.67466331,2.701430922,2.731606012,2.777370888,2.815412161,2.85257972,2.891638861,2.780335282,3.241117
Angola,AGO,0.221071773,0.210575191,0.20975729,0.209105843,0.195536413,0.200673212,0.203385943,0.199729389,0.189917655,0.179388943,0.186102105,0.172918084,0.187744955,0.163414479,0.176488715,0.200360089,0.210387059,0.216683892,0.232204398,0.247719719,0.203355858,0.247127155,0.273621889,0.308809238,0.338279788,0.357069668,0.360053993,0.361708928,0.389514124,0.413011069,0.415513484,0.365799666,0.336797483,0.33638525,0.366492722,0.352477165,0.278901581
Antarctica,ATA,1.83486122,1.703799571,1.703799571,1.839888185,1.703799571,1.83486122,1.83486122,1.839888185,1.83486122,1.83486122,1.965922744,1.97130871,1.965922744,1.965922744,1.965922744,1.955437667,2.009011421,2.009011421,2.009011421,2.035798183,2.048125697,2.048027049,2.074770692,0.103633019,0.141754496,0.141744621,0.141646005,0.120943643,0.12062962,0.120620062,0.122503534,0.122348278,0.11497017,0.11497017,0.114970248,0.096787944,0.1029978
Antigua and Barbuda,ATG,2.063326316,2.107968519,2.637253768,2.657727408,2.662982667,2.772684388,2.749084945,2.713013148,2.657141463,2.790978014,2.916759372,2.8649865,2.884643525,2.830558202,2.782468208,2.851077153,2.80786993,2.972463238,3.09033956,3.171081871,3.183432712,3.240676267,3.350612854,3.377539372,3.485511925,3.324923773,3.276717391,3.331628531,3.301726162,3.348897649,3.403354655,3.431444638,3.246459335,3.328116162,3.329859593,2.802961443,2.974219992
Argentina,ARG,1.587591797,1.651580166,1.699607475,1.70147524,1.61582064,1.566195893,1.56889133,1.65999041,1.691937374,1.758739591,1.791377711,1.85034722,1.849223749,1.892688788,1.891757141,1.877726989,1.814026662,1.720969643,1.825682946,1.918845144,2.015737291,2.096159284,2.163206917,2.169935699,2.086683064,2.140947447,2.178472876,2.238301817,2.304700734,2.277463811,2.293028161,2.260631314,2.238477688,2.204340686,2.062012073,1.924741812,2.115238047
Armenia,ARM,,,,,,,,1.616990993,1.272882643,1.167921608,1.165353574,1.504890693,1.280916997,1.377340419,0.862313334,0.939767887,0.936570558,0.905569546,1.001259043,1.044133683,1.216056128,1.220691245,1.376942308,1.335516332,1.199137469,1.342080896,1.416744006,1.501614527,1.473163302,1.501627856,1.391905323,1.402980819,1.497151426,1.475221153,1.571460601,1.658199401,1.719554938
Aruba,ABW,,0.669515972,0.671849038,2.582215315,3.42208175,3.556155899,3.756203353,3.986664054,3.925136869,4.166792286,4.563496332,2.909458055,4.552932286,4.408063542,4.270703036,4.976084802,5.060574291,5.1697967,5.698949894,5.885752443,6.287593115,6.198980535,6.308491781,5.852777693,5.762858441,5.351064748,4.220535873,5.247290074,5.042195184,5.073949372,5.181290115,4.997048929,5.137243039,4.929788064,5.080670284,4.316730502,4.56524111
