countries,primary_energy_consumption,normalized_energy_consumption
Afghanistan,27.13513,1.1635681743264894
Albania,40.252644,1.242639393689808
Algeria,707.6273,5.2655150561129815
American Samoa,1.5961853,1.0096216644404423
Angola,96.311485,1.580557151121925
Antarctica,0.048968244,1.0002951762630603
Antigua and Barbuda,2.7469301,1.016558252768993
Argentina,958.46265,6.777528459256656
Armenia,49.357056,1.297519987560417
Aruba,4.9106016,1.0296006740545094
Australia,1589.0751,10.578804780912554
Austria,406.03314,3.4475320157247045
Azerbaijan,197.54944,2.1908106296163083
Bahamas,14.459775,1.0871622504820067
Bahrain,235.74854,2.4210714408936083
Bangladesh,492.38055,3.9680266001074167
Barbados,6.475003,1.0390307479444005
Belarus,306.05542,2.8448751228435962
Belgium,738.3453,5.4506804553191435
Belize,2.9753036,1.0179348681181566
Benin,32.294933,1.1946710124774158
Bermuda,2.9852767,1.017994985086801
Bhutan,21.603115,1.1302216750137257
Bolivia,85.30703,1.514223265350675
Bosnia and Herz.,75.275955,1.4537568285109737
Botswana,24.29339,1.1464384158285366
Brazil,3570.6697,22.523682545538342
British Virgin Islands,0.6327558,1.0038141962467289
Brunei,45.993755,1.2772463052791656
Bulgaria,221.89557,2.3375669575209606
Burkina Faso,19.995071,1.1205285273738705
Burundi,3.6886592,1.022234912862279
Cambodia,66.93809,1.403496912460056
Cameroon,43.344273,1.261275461076433
Canada,3866.976,24.30979083145542
Cape Verde,4.2622404,1.0256924098306737
Cayman Islands,3.0102742,1.018145667815711
Central African Rep.,1.561469,1.0094123976408962
Chad,6.2046566,1.0374011236498517
Chile,476.857,3.874452007593359
China,43847.004,265.3058792777584
Colombia,574.74524,4.464513699018211
Comoros,1.342369,1.0080916821331785
Congo,13.7025585,1.082597816094742
Cook Islands,0.4928464,1.0029708347028883
Costa Rica,61.628967,1.3714939864971152
Côte d'Ivoire,65.13984,1.3926572198002969
Croatia,98.31208,1.5926165616247197
Cuba,103.89113,1.6262465837759383
Cyprus,29.841984,1.1798848518934795
Czechia,466.40598,3.8114541792708256
Dem. Rep. Congo,39.40167,1.237509797348117
Denmark,189.43509,2.1418980423043568
Djibouti,3.0790696,1.0185603604293105
Dominica,0.76402795,1.0046054932080999
Dominican Rep.,111.04068,1.669343441640852
Timor-Leste,2.1339822,1.0128634567993309
Ecuador,212.59688,2.281515272972997
Egypt,1058.7433,7.382011387504049
El Salvador,44.681767,1.2693377571388669
Eq. Guinea,20.266384,1.1221639782481079
Eritrea,3.3107688,1.0199570228052381
Estonia,61.401203,1.3701210451602837
eSwatini,7.131119,1.0429857574198076
Ethiopia,104.836815,1.631947089686098
Falkland Is.,0.1870031,1.001127238220727
Faroe Islands,3.7546556,1.0226327333503369
Fiji,8.527583,1.051403519449791
Finland,320.63977,2.9327883004564743
France,2593.6248,16.634141919493526
