countries,1985,1986,1987,1988,1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021
Afghanistan,11426855,11420074,11387824,11523299,11874088,12045664,12238879,13278982,14943174,16250799,17065836,17763265,18452100,19159996,19887791,20130334,20284303,21378123,22733054,23560656,24404574,25424100,25909852,26482629,27466101,28284088,29347709,30560036,31622708,32792527,33831765,34700614,35688942,36743040,37856126,39068978,40000411
Albania,3026245,3087659,3148843,3212924,3260370,3277964,3282607,3282506,3277830,3269417,3258571,3245681,3229665,3210133,3188596,3166147,3147941,3134094,3118092,3098663,3076155,3050804,3022887,2992933,2961487,2928730,2911500,2910003,2907570,2903748,2898634,2897868,2898247,2894231,2885012,2871951,2849643
Algeria,22008541,22745500,23443628,24109537,24754488,25375816,25987937,26628568,27277040,27887276,28470194,29033045,29579300,30054135,30474359,30903895,31331226,31750833,32175813,32628286,33109258,33623505,34189420,34816962,35490443,36188236,36903375,37646164,38414176,39205035,40019528,40850720,41689304,42505033,43294550,44042093,44761101
American Samoa,39126,40588,42095,43634,45207,46659,47904,49055,50178,51273,52337,53378,54385,55354,56265,56877,57072,57080,56988,56841,56637,56390,56133,55848,55541,55245,54917,54505,54026,53490,52895,52261,51606,50928,50230,49779,49248
Angola,9779125,10139458,10497864,10861301,11238562,11626359,12023533,12423717,12827135,13249762,13699780,14170973,14660420,15159377,15667234,16194872,16747204,17327701,17943717,18600426,19291161,20015280,20778569,21578655,22414774,23294821,24218358,25177399,26165616,27160766,28157801,29183072,30234837,31297160,32375632,33451140,34532427
Antarctica,47543,47543,47543,47543,47543,47543,47543,47543,47543,47543,47543,47543,47543,47543,47543,47543,47543,47543,47543,47543,47543,47543,47543,47543,47543,47543,47543,47543,47543,47543,47543,47543,47543,47543,47543,47543,47543
Antigua and Barbuda,64606,64293,63964,63641,63346,63087,63406,64421,65600,66860,68209,69628,71071,72429,73681,74929,76082,77049,77895,78734,79628,80619,81716,82926,84192,85337,86349,87275,88074,88783,89422,89981,90483,90942,91377,91864,92358
Argentina,30336448,30811983,31291764,31780533,32270958,32755907,33230292,33693532,34152718,34613491,35070016,35513794,35947790,36372863,36794686,37213985,37624818,38029346,38424284,38815915,39216787,39622113,40016766,40424149,40854832,41288694,41730655,42161718,42582454,43024072,43477009,43900312,44288898,44654876,44973468,45191960,45312283
Armenia,,,,,,,,3571869,3453338,3364620,3307585,3278738,3246292,3208400,3167282,3125630,3084350,3055635,3038976,3022544,3006360,2990371,2974825,2959996,2945518,2931083,2923267,2922528,2922528,2922433,2921179,2918795,2914967,2909970,2903975,2890894,2870339
Aruba,,63641,63420,63219,63413,64452,66564,68889,71090,73476,75931,78495,81121,83787,86482,88772,90320,91392,92324,93223,94238,95403,96604,97815,99040,100127,100994,101774,102570,103381,104200,104989,105736,106447,107089,107411,107565
Australia,314500,314500,314500,314500,314500,314500,314500,314500,314500,314500,314500,314500,314500,314500,314500,314500,19365437,19595357,19819450,20046680,20294490,20590565,20954545,21370595,21783014,22141583,22479778,22852649,23236271,23595599,23947998,24329961,24731044,25119700,25482714,25743787,25956416
Austria,7564311,7569397,7574314,7585347,7620406,7679626,7757140,7842716,7907492,7938156,7950322,7960918,7969802,7978465,7993895,8012929,8042232,8081638,8122605,8173494,8229204,8269902,8296949,8323250,8345072,8365087,8393272,8431598,8481411,8547812,8644037,8737920,8798780,8841652,8880875,8921402,8967053
